四半期,国内総生産(支出側),民間最終消費支出,家計最終消費支出,除く持ち家の帰属家賃,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,純輸出,輸出,輸入,純受取,受取,支払,国民総所得,国内需要,民間需要,公的需要,総固定資本形成,最終需要
10-12.,505081 ,285648 ,279661 ,230282 ,17391 ,72033 ,2363 ,97493 ,24629 ,(48),5573 ,75880 ,70308 ,13989 ,18266 ,4277 ,519070 ,499509 ,377435 ,122074 ,114053 ,502766 
2011/ 1- 3.,498665 ,281173 ,275014 ,225655 ,17996 ,73479 ,1097 ,98581 ,24281 ,(24),2080 ,75735 ,73654 ,14674 ,18910 ,4236 ,513338 ,496584 ,373746 ,122838 ,115757 ,497591 
4- 6.,490901 ,282550 ,276199 ,226978 ,17663 ,71930 ,688 ,98870 ,24951 ,17 ,(5769),70074 ,75843 ,14624 ,18678 ,4054 ,505524 ,496669 ,372832 ,123838 ,114545 ,490195 
7- 9.,501038 ,286511 ,280003 ,230740 ,18403 ,73820 ,1457 ,99126 ,24288 ,84 ,(2651),76058 ,78710 ,14561 ,18631 ,4071 ,515598 ,503689 ,380191 ,123498 ,116511 ,499496 
10-12.,500056 ,288347 ,281726 ,232432 ,18052 ,76614 ,703 ,99293 ,23423 ,14 ,(6389),72409 ,78798 ,13750 ,17837 ,4087 ,513806 ,506445 ,383715 ,122730 ,118088 ,499339 
2012/ 1- 3.,507558 ,289864 ,283177 ,233817 ,17758 ,76734 ,3475 ,100415 ,24798 ,11 ,(5497),74578 ,80075 ,13707 ,17875 ,4168 ,521265 ,513055 ,387830 ,125224 ,119289 ,504072 
4- 6.,500346 ,289080 ,282303 ,232897 ,18130 ,76477 ,318 ,99223 ,25079 ,71 ,(8032),73629 ,81661 ,13622 ,18184 ,4562 ,513967 ,508378 ,384005 ,124373 ,119686 ,499956 
7- 9.,497536 ,286849 ,279962 ,230542 ,18415 ,75583 ,1193 ,99814 ,24515 ,86 ,(8919),70977 ,79896 ,13969 ,17994 ,4025 ,511505 ,506455 ,382041 ,124414 ,118513 ,496257 
10-12.,497051 ,288943 ,282007 ,232528 ,18915 ,75477 ,(371),100314 ,24080 ,16 ,(10322),69409 ,79731 ,14217 ,18835 ,4617 ,511268 ,507373 ,382963 ,124410 ,118471 ,497406 
2013/ 1- 3.,503057 ,293116 ,286193 ,236660 ,19218 ,75642 ,192 ,100460 ,24593 ,(103),(10060),76415 ,86475 ,15529 ,20573 ,5044 ,518586 ,513117 ,388168 ,124950 ,119452 ,502968 
4- 6.,507667 ,295032 ,288073 ,238492 ,19552 ,78403 ,(2282),101139 ,25582 ,58 ,(9817),80978 ,90795 ,19234 ,25052 ,5818 ,526901 ,517484 ,390706 ,126779 ,123537 ,509891 
7- 9.,512842 ,297211 ,290194 ,240558 ,20442 ,79739 ,(703),101340 ,27102 ,(58),(12231),82048 ,94279 ,17438 ,24060 ,6623 ,530280 ,525074 ,396690 ,128384 ,127284 ,513604 
10-12.,512261 ,298082 ,291130 ,241489 ,21356 ,80603 ,100 ,101197 ,27683 ,95 ,(16855),81590 ,98445 ,17687 ,23937 ,6250 ,529948 ,529115 ,400141 ,128974 ,129642 ,512066 
2014/ 1- 3.,516800 ,304573 ,297811 ,248177 ,21683 ,82808 ,(2620),102077 ,27277 ,112 ,(19110),86853 ,105963 ,17669 ,24898 ,7230 ,534468 ,535910 ,406444 ,129466 ,131768 ,519308 
4- 6.,517978 ,295032 ,288565 ,239004 ,20426 ,81523 ,2923 ,103141 ,26948 ,116 ,(12131),87811 ,99942 ,17873 ,25472 ,7599 ,535851 ,530109 ,399904 ,130204 ,128897 ,514939 
7- 9.,518234 ,297827 ,291599 ,242083 ,19369 ,82303 ,(362),104006 ,27782 ,195 ,(12885),90896 ,103781 ,19769 ,27574 ,7805 ,538003 ,531119 ,399136 ,131983 ,129454 ,518401 
10-12.,521914 ,298087 ,291845 ,242379 ,19403 ,83114 ,(1355),104374 ,27781 ,21 ,(9511),95645 ,105156 ,22332 ,30718 ,8386 ,544245 ,531425 ,399249 ,132175 ,130298 ,523248 
2015/ 1- 3.,534861 ,299201 ,292697 ,243282 ,19961 ,87445 ,(168),105102 ,26766 ,90 ,(3535),95338 ,98873 ,20158 ,28543 ,8385 ,555019 ,538396 ,406439 ,131957 ,134172 ,534939 
4- 6.,538242 ,300685 ,293892 ,244498 ,20331 ,86477 ,2689 ,104901 ,26521 ,(50),(3313),93548 ,96860 ,21418 ,29938 ,8520 ,559660 ,541555 ,410183 ,131372 ,133330 ,535603 
7- 9.,539882 ,301515 ,294532 ,245182 ,20492 ,87814 ,764 ,105507 ,26553 ,(69),(2693),95550 ,98242 ,21087 ,30262 ,9174 ,560969 ,542575 ,410584 ,131991 ,134859 ,539187 
10-12.,539191 ,298966 ,291853 ,242548 ,20428 ,87309 ,955 ,106735 ,27073 ,(43),(2232),90818 ,93050 ,21997 ,31427 ,9430 ,561188 ,541423 ,407658 ,133766 ,134810 ,538279 
